text,label
"I absolutely love this product, it's amazing!",1
"This is the best purchase I've made this year.",1
"Very happy with the results, highly recommend.",1
"Terrible, broke within a day and support was useless.",0
"Extremely disappointed, will never buy again.",0
"It was okay, not great but not terrible either.",1
"Pretty good quality for the price.",1
"Not what I expected, quality is poor.",0
"Amazing experience; exceeded my expectations.",1
"Horrible. The worst I've used.",0
"Good value and works well.",1
"Stopped working after a week, awful.",0
"I enjoy using it every day.",1
"Disappointing performance and bad battery life.",0
"Solid product and easy to use.",1
"Cheap materials, feels very flimsy.",0
"Exceeded expectations. Will buy another.",1
"Not recommended. Waste of money.",0
"Satisfied with the purchase overall.",1
"Do not buy. Completely useless.",0
